             x           y
0        3.666       4.031
1        3.276      -1.154
2        0.701       3.280
3       -4.409      -2.349
4        2.957       3.410
5        1.149       3.238
6       -4.279      -2.777
7        2.205       0.637
8        0.917      -3.006
9       -4.024       0.344
10       4.220      -3.326
11      -2.635       4.475
12      -0.112       3.637
13       3.897       3.598
14      -2.892       4.340
15       4.505       0.109
16      -1.972      -0.062
17       2.054      -0.683
18      -4.404       2.349
19       1.315      -1.348
20  888888.000  888888.000
21  888888.000  888888.000
22  888888.000  888888.000
23  888888.000  888888.000
24  888888.000  888888.000
25  888888.000  888888.000
26  888888.000  888888.000
27  888888.000  888888.000
28  888888.000  888888.000
29  888888.000  888888.000
